Tytuł,Miejsce,Powierzchnia,L_pokoi,Pietro,Rok_budowy,Cena
Jasień / 2 Pokoje / Balkon /,"Gdańsk Rębowo, Konrada Guderskiego",49.2,2,1,2014,419 000 zł
Idealne pod inwestycję/wynajem - Centrum Gdańska,"Gdańsk Siedlce, Powstańców Warszawskich",60.5,3,parter,0,499 000 zł
Mieszkanie w kamienicy na gdańskiej starówce,"Gdańsk Śródmieście, Ogarna",49.33,2,1,1958,612 500 zł
Mieszkanie Gdańsk Morena ul.Królewskie Wzgórze,"Gdańsk Morena, Królewskie Wzgórze",55.59,0,2,2008,530 000 zł
Mieszkanie Gdańsk 3 pok.ul.Mazowiecka,"Gdańsk Niedźwiednik, Mazowiecka",62.68,3,1,1978,525 000 zł
2 pokoje/ piękny widok/ dobry stan/ pod inwestycję,"Gdańsk Przymorze, Lęborska",50.5,2,13,1979,499 000 zł
Ogród 43m2/ 2 Pokoje/ Piwnica/ 2007 rok,"Gdańsk Łostowice, Jana Kielasa",49.5,2,parter,2007,359 000 zł
"4 pokoje/ osiedle ""klimaty""/ duży ogród/ słoneczne","Gdańsk Morena, Myśliwskie Wzgórze",89.3,4,parter,2012,910 000 zł
Gustowny apartament z tarasem / blisko morza,"Gdańsk Wrzeszcz, Bolesława Chrobrego",76.05,3,4,2017,1 250 000 zł
3 pokoje/ ZASPA/ idealne dla rodziny,"Gdańsk Zaspa, Jana Pawła Ii",55.82,3,1,2016,760 000 zł
2 pokoje z ogrodem / śródmieście / wysoki standard,"Gdańsk Długie Ogrody, Św. Barbary",42,2,parter,2019,645 000 zł
Ujeścisko/ 3 pokoje/ dwa balkony,"Gdańsk Ujeścisko, Mariana Kołodzieja",75,3,3,2012,620 000 zł
3 pokoje/ 1 piętro/ po remoncie/ balkon,"Gdańsk Niedźwiednik, Góralska",60.5,3,1,1980,550 000 zł
3 pokoje/ idealny pod inwestycje/ 8min do plaży,"Gdańsk Żabianka, Gospody",51.85,3,2,1970,599 000 zł
Siedlce/ 2pokoje/ blisko tramwaj/,"Gdańsk Siedlce, Zakopiańska",52.29,2,parter,0,424 000 zł
