Tytuł,Miejsce,Powierzchnia,L_pokoi,Pietro,Rok_budowy,Cena
"Parter Dwa osobne Pokoje, Odnowiona Kamienica.","Gdańsk Siedlce, Kartuska",50.4,2,parter,1962,435 000 zł
3 pokoje/ harmonia oliwska/ balkon i loggia,"Gdańsk Oliwa, Opacka",73.36,3,4,2017,1 050 000 zł
Kawalerka z ogródkiem/ 2 km od starówki,"Gdańsk Przeróbka, Joachima Pastoriusza",28,1,1,0,235 000 zł
Morena/ 3 pokoje/ osobna kuchnia/ blisko tramwaj,"Gdańsk Morena, Orańska",63,3,4,1975,475 000 zł
3-pokojowe mieszkanie z ogródkiem! PCC 0%,"Gdańsk Morena, Myśliwska 44",57.54,3,parter,2020,525 000 zł
Mieszkanie 3-pok z halą garażową,"Gdańsk Chełm, Zamiejska",55.54,3,2,2010,475 000 zł
Mieszkanie 4-pok na Jasieniu,"Gdańsk Jasień, Stolema",98,4,4,1996,500 000 zł
Sprzedam 2-pokojowe + piwnica + m. postojowe,Gdańsk Łostowice,51.8,2,2,2011,399 000 zł
Gdańsk Zaspa. Przytulne mieszkanie dla każdego,"Gdańsk Zaspa, Zbigniewa Burzyńskiego",48.2,2,1,0,460 000 zł
Wyjątkowe mieszkanie w spokojnej okolicy,"Gdańsk Kowale, Heliosa",53.7,3,3,0,422 000 zł
"Przymorze, blisko parku, morza, z windą, od zaraz!","Gdańsk Przymorze, Jagiellońska",40.4,2,2,1970,349 000 zł
Mieszkanie 3-pokojowe dla siebie lub inwestycje !,"Gdańsk Wrzeszcz, Grunwaldzka",56.26,3,4,1960,432 500 zł
Przestronna kawalerka z możliwością 2 pokoi ✅ SKM,"Gdańsk Żabianka, Grunwaldzka",31,1,9,1985,287 500 zł
Wyjątkowe 2 pokojowe mieszkanie na Morenie !,"Gdańsk Morena, Heleny Marusarzówny",36.78,2,9,1970,339 000 zł
3 pokoje z balkonem na lawendowym wzgórzu!,"Gdańsk Jasień, Jabłoniowa",62.94,3,4,2013,564 000 zł
Mieszkanie wykończone w wysokiej jakości,"Gdańsk Morena, Stanisława Lema",42.18,2,4,2016,515 000 zł
Mieszkanie przy Gdańskiej Motławie!,"Gdańsk Długie Ogrody, Długie Ogrody",47.1,2,3,1963,435 000 zł
Luksusowe 3 pok.mieszkanie z balkonem na Siedlcach,"Gdańsk Siedlce, Zakopiańska",57.73,3,2,1930,599 000 zł
Dwupokojowe mieszkanie w centrum Wrzeszcza,"Gdańsk Wrzeszcz, Konrada Wallenroda",44.88,2,1,1929,400 000 zł
Przytulne dwupokojowe mieszkanie 35m2 na Morenie,"Gdańsk Morena, Stanislawa Lema",35,2,1,2016,439 000 zł
Zabezpiecz swoją przyszłość i kup mieszkanie na wynajem,Gdańsk Amundsena 5,73,6,1,1980,563 700 zł
Mieszkanie 104 m2 Gdańsk z ogromnym tarasem,Gdańsk Przemyska,104,3,3,2000,699 000 zł
"Przymorze - 2 pokojowe blisko morza, po generalnym remoncie.","Gdańsk Przymorze, Obrońców Wybrzeża",30,2,5,1970,319 000 zł
Gotowe do wprowadzenia w odnowionej kamienicy,"Gdańsk Dolne Miasto, Łąkowa",67.05,3,2,1898,569 000 zł
W sercu Starego Miasta blisko Neptuna,"Gdańsk Śródmieście, Długi Targ",53.4,3,4,1950,579 000 zł
Dwupoziomowe mieszkanie z dwoma balkonami!,"Gdańsk Ujeścisko, Piotrkowska",45,2,3,2000,359 000 zł
Słoneczne mieszkanie po remoncie z dwoma balkonami,"Gdańsk Nowy Port, Wyzwolenia",52.1,2,3,1978,349 000 zł
Apartament z widokiem na motławę !,"Gdańsk Długie Ogrody, Szafarnia",98,3,1,2011,1 320 000 zł
Mieszkanie 3-pokojowe | Jasień Bulwary,"Gdańsk Jasień, Krzysztofa Komedy",56.9,3,parter,2020,509 000 zł
Mieszkanie 5 pokoi+balkon+Garaż opcjonalnie,"Gdańsk Ujeścisko, Ujeścisko",103.66,5,3,2010,829 000 zł
Osiedle nad Vodą! Wymarzone miejsce do życia!,"Gdańsk Morena, Myśliwska",52.24,2,1,2009,519 000 zł
Gotowy apartament taniej niż u dewelopera!!,"Gdańsk Śródmieście, Toruńska",57.8,2,2,2012,679 000 zł
Nowe budownictwo obok parku Reagana,"Gdańsk Przymorze, Obrońców Wybrzeża",46,2,9,2006,590 000 zł
Blisko lasu ! 4 pokoje ! Wrzeszcz ! 2007r !,"Gdańsk Wrzeszcz, Hugo Kołłątaja",106,4,4,2007,1 099 000 zł
3-pokoje w wysokim standardzie z dużym balkonem,"Gdańsk Kowale, Zeusa",60.8,3,3,2011,449 000 zł
Dla osób ceniących sobie bliskość z naturą !,"Gdańsk Rudniki, Zagroble",39.54,3,2,1960,184 900 zł
Penthouse z tarasem 77m2 przy Starówce w Gdańsku,"Gdańsk Długie Ogrody, Długa Grobla",87.5,4,5,2019,1 230 000 zł
Super oferta! Słoneczne mieszkanie z balkonem!,"Gdańsk Ujeścisko, Przemyska",40,2,2,1998,335 000 zł
Mieszkanie po remoncie! Dwa balkony! Nowy Port  !,"Gdańsk Nowy Port, Wyzwolenia",50.1,2,3,1978,359 000 zł
Atrakcyjne mieszkanie Lawendowe Wzgórze!,"Gdańsk Szadółki, Lawendowe Wzgórze",48,2,5,2015,430 000 zł
Mieszkanie pod klucz w centrum gdańska !,"Gdańsk Śródmieście, Jana Heweliusza",53.1,2,3,0,600 000 zł
Słoneczne mieszkanie z widokiem na Martwą Wisłe!,"Gdańsk Stogi, Tamka",42.9,2,parter,0,360 000 zł
"Dwupoziomowe mieszkanie w budynku dwurodzinnym, ogród, garaż - Strzyża","Gdańsk Strzyża, Hubala",220,7,1,1999,1 340 000 zł
Przestronne i słoneczne 3 pokoje z ogrodem,"Gdańsk Ujeścisko, Anny Jagiellonki",54,3,parter,2008,459 000 zł
DWUPOKOJOWY APARTAMENT PRZY STARYM MIEŚCIE!,"Gdańsk Śródmieście, Rajska",44.5,2,3,1960,499 000 zł
Zamieszkaj wygodnie na zaspie!,"Gdańsk Zaspa, Jerzego Bajana",68,3,3,1979,543 900 zł
2 pokoje z balkonem na jasieniu!,"Gdańsk Jasień, Pólnicy",54.5,2,1,1996,460 000 zł
"Bezpośrednio, dwa pokoje po remoncie!","Gdańsk Przymorze, Władysławowska 2",37,2,1,1970,399 000 zł
Bezpośrednio | 4 pokoje | Kowale | dwupoziomowe,Gdańsk Kowale,74,4,2,2001,585 000 zł
Apartament dla konesera z widokiem na Motławę,Gdańsk Dolne Miasto,86.27,2,3,1901,1 080 000 zł
Zajezdnia Wrzeszcz,"Gdańsk Wrzeszcz, Gen. Józefa Hallera",65,3,1,2020,950 000 zł
NOWA CENA! Dwupokojowe na Morenie,"Gdańsk Morena, Piecewska",42,2,5,1980,399 000 zł
Idealne na Biuro Stare Miasto Gdańsk Nowe Recepcja,"Gdańsk Śródmieście, Chmielna",53.83,2,1,2019,818 216 zł
Dwupokojowe mieszkanie przy Gdańskiej Starówce.,"Gdańsk Śródmieście, Pszenna",37.3,2,5,2020,850 000 zł
PENTHOUSE Z TARASEM NA DACHU | NA SPRZEDAŻ,"Gdańsk Śródmieście, Targ Rybny",132.56,3,4,2009,3 990 000 zł
Dwa Pokoje z Tarasem nad Wodą w Zielonej Okolicy,"Gdańsk Ujeścisko, Lubelska",55,2,parter,2001,425 000 zł
Apartament 100 m.kw z widokiem na Motławę,"Gdańsk Śródmieście, Chmielna",100,4,4,2020,2 500 000 zł
Unikalny Apartament Widok na Morze I-sza Linia,Gdańsk Jelitkowo,263.47,5,2,2015,5 500 000 zł
Duże 3 pokojowe Mieszkanie w Matemblewie - aranżacja 62m2,"Gdańsk Matemblewo, Potokowa 29",62,3,2,1992,550 000 zł
Sprzedam mieszkanie Zaspa Powstańców Wielkopolskich,"Gdańsk Zaspa, Powstańców Wielkopolskich",62,3,2,2016,799 000 zł
2 pokoje w centum wrzeszcza!,"Gdańsk Wrzeszcz, Grunwaldzka",48,2,4,1955,435 000 zł
Kawalerka Gdańsk Wrzeszcz,"Gdańsk Wrzeszcz, Klonowicza 42",30,2,1,1965,320 000 zł
"Mieszkanie 3-pok, hala garażowa i piwnica","Gdańsk Morena, Myśliwska",65.3,3,2,2007,580 000 zł
Apartament stan deweloperski - 3 minuty od motławy,"Gdańsk Śródmieście, Panieńska",47.25,2,1,2019,599 000 zł
Mieszkanie w Centrum Gdańska z potencjałem!,"Gdańsk Śródmieście, Gdyńskich Kosynierów",72.5,2,parter,1916,599 000 zł
"Przytulne mieszkanie 2 pokoje 49,9 m2 Gdańsk","Gdańsk Łostowice, Jana Kielasa",50,2,2,2008,420 000 zł
Rodzinne duże mieszkanie w sercu Jasienia,"Gdańsk Szadółki, Potęgowska",79.4,4,3,2012,670 000 zł
Po remoncie. Inwestycja lub mieszkanie dla rodziny,"Gdańsk Wrzeszcz, Tadeusza Kościuszki",71,4,parter,1950,669 000 zł
Klimatycznie blisko starówki,"Gdańsk Długie Ogrody, Długie Ogrody",68.3,3,3,1901,667 000 zł
"Ładne, duże, ciche mieszkanie z ogródkiem.","Gdańsk Aniołki, Śniadeckich",91.42,4,parter,1900,847 000 zł
Mieszkanie 2 pokojowe w centrum Wrzeszcza!,"Gdańsk Wrzeszcz, Grunwaldzka",48.4,2,4,1955,435 000 zł
Mieszkanie w domu dwurodzinnym z ogrodem,"Gdańsk Orunia, Raduńska",98.87,3,parter,1900,495 000 zł
"4 pokoje z dwoma tarasami, ul. Potęgowska","Gdańsk Szadółki, Potęgowska",81,4,3,2014,655 000 zł
3 Pokojowe mieszkanie na Żabiance  blisko morza,"Gdańsk Żabianka, Szyprów",54,3,2,1978,499 000 zł
CESJA mieszkanie 3 pokojowe na os. Pastelowym,"Gdańsk Łostowice, Pastelowa",55,3,2,2021,395 000 zł
Dwupokojowe mieszkanie po remoncie 45m,"Gdańsk Orunia, Związkowa",45,2,1,1930,279 000 zł
2 pokojowe mieszkanie na przymorzu po remoncie.,"Gdańsk Przymorze, Obrońców Wybrzeża",30,2,5,1978,329 000 zł
Piękne i luksusowe mieszkanie - Mila Baltica,"Gdańsk Wrzeszcz, Bolesława Chrobrego",76.05,3,4,2017,1 250 000 zł
Kup swoje nowe biuro ! 2 miejsca postojowe w cenie,"Gdańsk Wrzeszcz, Grunwaldzka",68.68,3,parter,1930,559 000 zł
"2 Apartamenty w jednym, Oliwa","Gdańsk Przymorze, Piastowska",47,2,parter,2018,699 000 zł
3 pokojowe blisko Havla Gdańsk,"Gdańsk Orunia Górna, Uranowa",65.8,3,2,1998,470 000 zł
Mieszkanie 2 - pokojowe z dużym balkonem!!!,"Gdańsk Ujeścisko, Jeleniogórska",33.6,2,parter,2000,319 000 zł
"Mieszkanie 3 pokojowe, blisko tramwaj","Gdańsk Przeróbka, Karola Dickensa",53.2,3,7,1970,350 000 zł
Piękny apartament | Oliwski Park - Moderna,"Gdańsk Oliwa, Opacka",65.8,3,1,2019,1 399 000 zł
3 pokoje blisko centrum!,"Gdańsk Suchanino, Cygańska Góra",62,3,1,2003,670 000 zł
"3-pok. mieszkanie, bogate wnętrze, balkon","Gdańsk Jasień, Jasieńska",79.2,3,1,2011,749 000 zł
Nieruchomość idealna dla studentów! HIT!,"Gdańsk Wrzeszcz, Grunwaldzka",48.4,2,4,1955,435 000 zł
Piękny apartament w Oliwskim Parku | Moderna,"Gdańsk Oliwa, Opacka",61.4,3,2,2019,1 329 000 zł
Kawalerka przy Motławie!,"Gdańsk Śródmieście, Warzywnicza",40,2,1,1900,459 000 zł
Inwestycja 4 pokoje pod studentów ! przymorze !,"Gdańsk Przymorze, Piastowska",46,2,5,1976,367 000 zł
Przymorze -2 pok- inwestycja,"Gdańsk Przymorze, Kołobrzeska",46,2,4,1978,398 000 zł
Zamieszkaj Blisko Morza !,"Gdańsk Przymorze, Chłopska",30,1,1,1980,284 900 zł
Mieszkanie 2 pokojowe na Przymorzu!,"Gdańsk Przymorze, Władysławowska",37,2,1,1978,399 000 zł
Mieszkanie 2-pokojowe | Centrum Gdańska,"Gdańsk Śródmieście, Świętojańska",41.2,2,4,1950,690 000 zł
"Piękne, nowe dwupokojowe mieszkanie","Gdańsk Łostowice, Złota",52.6,2,3,2020,399 000 zł
2 pokoje na Starym mieście za 370! 44m2!!!,"Gdańsk Dolne Miasto, Przyokopowa",44,2,1,1901,369 999 zł
Piękne mieszkanie blisko morza !,"Gdańsk Stogi, Szpaki",46,2,3,1970,399 000 zł
Rozkładowe mieszkanie trzypokojowe CESJA.,"Gdańsk Łostowice, Złota",52.4,3,2,2021,375 000 zł
Rozkładowe mieszkanie trzypokojowe CESJA.,"Gdańsk Łostowice, Złota",52.9,3,parter,2021,359 000 zł
2 pokoje w nowym budownictwie- Zajezdnia Wrzeszcz!,"Gdańsk Wrzeszcz, Gen. Józefa Hallera",33.77,2,5,2020,475 000 zł
Duże dwupoziomowe mieszkanie inwestycyjne-Jasień,"Gdańsk Jasień, Pólnicy",187,6,4,1995,549 000 zł
2 pokoje w nowym budownictwie- Zajezdnia Wrzeszcz!,"Gdańsk Brzeźno, Gen. Józefa Hallera",33.77,2,5,2020,475 000 zł
Inwestycyjnie: małe 2 pokoje w Brzeźnie,"Gdańsk Brzeźno, Dworska",26.58,2,4,1975,295 000 zł
2 pokojowe mieszkanie w Gdańsku Przymorzu!,"Gdańsk Przymorze, Obrońców Wybrzeża",46,2,parter,1978,399 000 zł
Apartament dwupoziomowy w stylu Glamour w Gdańsku!,"Gdańsk Łostowice, Andrzeja Grubby",75.6,3,3,2016,570 000 zł
"świetnie skomunikowane, duże 2 pokojowe mieszkanie","Gdańsk Siedlce, Zakopiańska",52.29,2,parter,1930,420 000 zł
Piękna kawalerka - przymorze,"Gdańsk Przymorze, Jagiellońska",28,1,4,1970,359 000 zł
Mieszkanie 4 pokoje + taras + ogród ujeścisko,"Gdańsk Ujeścisko, Ciechanowska",71.2,4,parter,1992,599 000 zł
Słoneczna kawalerka / Wyjątkowe wnętrze,"Gdańsk Stogi, Wilhelma Stryjewskiego",25.7,1,5,1978,277 000 zł
Przytulne 2 pokoje / Chełm,"Gdańsk Ujeścisko, Nieborowska",35,2,2,2002,369 000 zł
2 Pokoje  z Ogródkiem - Wysoki Standard !,"Gdańsk Jasień, Stolema",45.8,2,parter,2015,480 000 zł
Trzy pokoje i oddzielna kuchnia. trzy balkony!,"Gdańsk Osowa, Afrodyty",62,3,2,2001,420 000 zł
Trzypokojowe mieszkanie w bardzo korzystnej cenie!,"Gdańsk Zaspa, Startowa",61.6,3,7,1977,545 000 zł
Blisko morza! Wysoki standard. Nowa Letnica 2019r.,"Gdańsk Letnica, Sucha",33.65,2,parter,2019,520 000 zł
Spokojna i cicha okolica! Dwupokojowe mieszkanie.,"Gdańsk Matemblewo, Potokowa",49.85,2,parter,1992,429 000 zł
Blisko SKM! 2 pokoje - parter,"Gdańsk Orunia, Żuławska",38.3,2,parter,1960,274 000 zł
"Hit inwestycyjny, blisko awf, roi +-8%","Gdańsk Żabianka, Grunwaldzka",91,7,parter,1976,799 000 zł
"Piękne, słoneczne mieszkanie ! Spokojna okolica.","Gdańsk Jasień, Konrada Guderskiego",49,2,1,2014,429 000 zł
Nieruchomość w samym Centrum Wrzeszcza,"Gdańsk Wrzeszcz, Grunwaldzka",85.7,3,1,1970,749 000 zł
"Atrakcyjne mieszkanie, 3 pokoje, Orunia Górna!","Gdańsk Orunia Górna, Emilii Hoene",62,3,3,1985,459 000 zł
"Mieszkanie 3 pokoje, morena!","Gdańsk Morena, Heleny Marusarzówny",63.8,3,parter,1985,517 000 zł
Atrakcyjne mieszkanie z ogródkiem wrzeszcz!,"Gdańsk Morena, Magellana",42,2,parter,2010,449 000 zł
"Nowoczesne, dwupokojowe mieszkanie Jeleniogórska","Gdańsk Ujeścisko, Jeleniogórska",49,2,3,2001,345 000 zł
3 pokojowe mieszkanie z ogrodem! spokojna okolica,"Gdańsk Łostowice, Niepołomicka",60.7,3,parter,2018,550 000 zł
Komfortowy apartament 800 metrów od morza,"Gdańsk Brzeźno, Gen. Józefa Hallera",55.7,2,4,2019,724 000 zł
Piękna kawalerka w spokojnej okolicy,"Gdańsk Morena, Magellana",29.5,1,3,2009,355 000 zł
Luksusowe mieszkanie! Trzy pokoje- Przymorze!,"Gdańsk Przymorze, Olsztyńska",64,3,6,2015,860 000 zł
Mieszkanie w wysokim standardzie Oliwa,"Gdańsk Przymorze, Piastowska",25,2,parter,2018,372 500 zł
74m2  -  4 pokoje  na Gdańskiej Morenie !,"Gdańsk Morena, Budapesztańska",74,4,4,1990,565 000 zł
Apartament w wysokim standardzie Oliwa,"Gdańsk Przymorze, Piastowska",22,2,parter,2018,327 800 zł
3 pokoje wysoki standard,"Gdańsk Łostowice, Złota",52.3,2,parter,2019,419 000 zł
Mieszkanie 3 pokojowe z 2 miejscami parkingowymi,"Gdańsk Szadółki, Morelowa",51.1,3,3,2012,469 000 zł
Kawalerka Gdańsk Kowale!,"Gdańsk Kowale, Konrada Guderskiego",32.5,1,3,2007,275 000 zł
Przestronne i bardzo jasne mieszkanie na Morenie!,"Gdańsk Morena, Prof. Stefana Myczkowskiego",63.2,3,3,1990,520 000 zł
Dwa niezależne pokoje- Przymorze! Blisko morza!,"Gdańsk Przymorze, Jagiellońska",38,2,3,1970,419 000 zł
3 pokoje na Zaspie,"Gdańsk Zaspa, Pilotów",56.3,3,7,1978,499 000 zł
Dwa pokoje- Przymorze! Blisko morza!,"Gdańsk Przymorze, Jagiellońska",38,2,1,1970,378 000 zł
Mieszkanie z balkonem. Świetnie skomunikowane!,"Gdańsk Stogi, Skiby",51.2,3,4,1967,495 000 zł
"Dwustronne, słoneczne 3 pokojowe mieszkanie","Gdańsk Osowa, Antygony",60.9,3,3,2000,469 000 zł
Słoneczne 2 pokojowe mieszkanie do wprowadzenia,"Gdańsk Nowy Port, Wyzwolenia",52.1,2,3,1978,349 000 zł
"Przestronne mieszkanie 62,40 m2 na Zaspie","Gdańsk Zaspa, Dywizjonu 303",62.4,2,1,1970,570 000 zł
Odpocznij nad wodą w samym centrum gdańska!,"Gdańsk Stare Przedmieście, Chmielna",51.6,2,1,2014,649 000 zł
3 pokoje na Przymorzu,"Gdańsk Przymorze, Piastowska",58,3,3,1962,498 000 zł
Przestronne 3-pokojowe mieszkanie do wprowadzenia,"Gdańsk Św. Wojciech, Kazimierza Wielkiego",69.3,3,2,2012,494 000 zł
Nieruchomość z pięknym widokiem z okna,"Gdańsk Zakoniczyn, Konrada Guderskiego",68.2,3,2,2010,499 000 zł
Apartament dwupoziomowy w stylu Glamour w Gdańsku!,"Gdańsk Łostowice, Andrzeja Grubby",75.6,3,3,2016,570 000 zł
Idealne pod inwestycje  // bardzo rozsądna cena !!,"Gdańsk Siedlce, Szara",27,1,1,1962,249 000 zł
Idealna lokalizacja / Możliwość zrobienia 3 pok,"Gdańsk Przymorze, Kołobrzeska",44.5,2,2,1964,429 000 zł
2 pokoje + ogródek!  Gdańsk ul. Przytulna!,"Gdańsk Kiełpinek, Przytulna",40,2,parter,2005,350 000 zł
Piękne słoneczne mieszkanie - świetna lokalizacja,"Gdańsk Łostowice, Zbigniewa Podleckiego",38,1,1,2007,335 000 zł
Dwa pokoje- nowe budownictwo! Zajezdnia Wrzeszcz!,"Gdańsk Wrzeszcz, Gen. Józefa Hallera",34,2,6,2020,499 000 zł
Dwa pokoje- nowe budownictwo! Zajezdnia Wrzeszcz!,"Gdańsk Brzeźno, Gen. Józefa Hallera",34,2,6,2020,499 000 zł
Atrakcyjna kawalerka z pięknym widokiem! Zaspa,"Gdańsk Zaspa, Zbigniewa Burzyńskiego",27,1,11,1982,359 000 zł
Dwupokojowe mieszkanie na Przymorzu !,"Gdańsk Przymorze, Piastowska",46,2,parter,1978,449 000 zł
"Dwa słoneczne, niezależne pokoje na sprzedaż!!!","Gdańsk Wrzeszcz, Tadeusza Kościuszki",32.98,2,2,1963,320 000 zł
Dwa pokoje niezależne- Przymorze! Balkon!,"Gdańsk Przymorze, Chłopska",36,2,4,1965,439 000 zł
Mieszkanie nad morzem! 2 pokoje z balkonem!,"Gdańsk Brzeźno, Orla",45.62,2,4,1990,419 000 zł
Apartament nad morzem,"Gdańsk Przymorze, Obrońców Wybrzeża",43,2,11,2008,690 000 zł
2 pokoje na Śródmieściu,"Gdańsk Biskupia Górka, Spadzista",39.5,2,10,1973,370 000 zł
3-pokoje w wysokim standardzie z dużym balkonem,"Gdańsk Łostowice, Hokejowa",72.13,3,1,2008,499 000 zł
Świetna inwestycja!  400 metrów do Żurawia,"Gdańsk Długie Ogrody, Angielska Grobla",22,1,1,1950,319 000 zł
"Mieszkanie - Gdańsk Oliwa, 1 099 000 zł","Gdańsk Oliwa, Opacka",56.5,3,parter,2019,1 099 000 zł
"Gdańsk ,Morena Franciszka Zabłockiego - 63,6 m&sup2;","Gdańsk Morena, Franciszka Zabłockiego",63.6,3,1,1976,510 000 zł
"Dwupoziomowe mieszkanie, Gdańsk, Suchanino,75.78m2","Gdańsk Suchanino, Taborowa",75.78,3,4,1992,629 000 zł
Gotowe pod wynajem (krótkoterminowy).  Okazja!,"Gdańsk Ujeścisko, Małomiejska",43,2,0,0,319 000 zł
"Morena 42,4m2 po generalnym remoncie *WIDOK*","Gdańsk Morena, Piecewska",42.4,2,6,1978,387 000 zł
Nowa niższa cena! 4pokojowe mieszkanie na Żabiance,"Gdańsk Żabianka, Gospody",68.7,4,4,1976,550 000 zł
Niesamowite mieszkanie z działką na Hallera,"Gdańsk Śródmieście, Gen. Józefa Hallera",52.63,2,2,1933,418 000 zł
Niedźwiednik. Przestronne 3-4 pokojowe Widok na PA,"Gdańsk Niedźwiednik, Leśna Góra",67,3,3,1985,525 000 zł
Kawalerka 10 minut spacerem od Neptuna.,"Gdańsk Długie Ogrody, Głęboka",24,1,8,1961,299 000 zł
Niedźwiednik. 4 pokoje. Widok na Park Krajobrazowy,"Gdańsk Niedźwiednik, Leśna Góra",67,4,3,1985,524 000 zł
"2 - poziomowe, słoneczne, chełm","Gdańsk Chełm, Lotników Polskich",112,5,2,1990,649 000 zł
Klimatyczne mieszkanie w centrum Starego Miasta,"Gdańsk Śródmieście, Długa",67.4,3,2,1950,800 000 zł
Tylko u nas z kompletnym wyposażeniem !,"Gdańsk Orunia Górna, Gen. Kazimierza Sosnkowskiego",55.3,2,1,2005,470 000 zł
Duże mieszkanie z windą w nowym budownictwie,"Gdańsk Osowa, Koziorożca",69.29,3,1,2016,670 000 zł
"Mieszkanie - Gdańsk Przymorze, 239 000 zł","Gdańsk Przymorze, Jagiellońska",17,1,7,1975,239 000 zł
Brzeźno 3 pokoje-widok na Zatokę !,"Gdańsk Brzeźno, Kazimierza Pułaskiego",52.6,3,4,1975,499 000 zł
Wyjątkowe mieszkanie na Morenie,"Gdańsk Morena, Romana Wyrobka",62.72,2,2,1985,529 000 zł
Waterlane - idealne na inwestycję,"Gdańsk Długie Ogrody, Szafarnia",36.88,2,1,2012,700 000 zł
Dwupokojowe mieszkanie w Nowym Porcie,"Gdańsk Nowy Port, Wyzwolenia",52.1,2,3,1978,352 000 zł
Przestronne mieszkanie we wrzeszczu,"Gdańsk Wrzeszcz, Ludwika Waryńskiego",110,5,1,1915,799 000 zł
"2 pokoje na przymorzu, idealne dla starszej osoby","Gdańsk Przymorze, Kołobrzeska",46,2,parter,1976,420 000 zł
Rewelacyjny Apartament 700 m do Morza,"Gdańsk Przymorze, Obrońców Wybrzeża",46,2,9,2007,589 000 zł
3 POKOJE BLISKO MORZA! ZASPA!,"Gdańsk Zaspa, Jana Pawła Ii",64.6,3,parter,1993,599 999 zł
"3 pokojowe mieszkanie, 2 miejsca w hali, kokoszki","Gdańsk Karczemki, Jaśminowy Stok",59,3,3,2009,503 000 zł
Wyjątkowe mieszkanie w centrum Wrzeszcza,"Gdańsk Wrzeszcz, Jana Matejki",96,3,2,1930,700 000 zł
3 pokoje z widokiem na las!!,"Gdańsk VII Dwór, Henryka Rodakowskiego",54.4,3,3,1966,580 000 zł
2 pokoje/ morena/ kameralne osiedle/ umeblowane/,"Gdańsk Morena, Matecznikowa",40.1,2,1,2009,370 000 zł
Apartament z kameralnym ogródkiem blisko plaży,"Gdańsk Przymorze, Prezydenta Lecha Kaczyńskiego",90.5,4,1,2009,1 350 000 zł
Nowe budownictwo / kawalerka / przymorze,"Gdańsk Przymorze, Szczecińska",28,1,parter,2016,399 000 zł
Prestiżowa oferta! Apartament z tarasem 70 m2!,"Gdańsk Stare Przedmieście, Jaglana",50.8,2,1,2018,890 000 zł
Mieszkanie - Gdańsk Osowa,"Gdańsk Osowa, Balcerskiego Wacława",94,5,3,1991,579 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Śródmieście, Górka",149.8,5,1,1900,1 280 000 zł
Mieszkanie - Gdańsk Zaspa,"Gdańsk Zaspa, Pilotów",66.8,4,7,1980,599 000 zł
Mieszkanie - Gdańsk Zaspa,"Gdańsk Zaspa, Pilotów",66.8,3,7,1980,599 000 zł
Mieszkanie - Gdańsk Wrzeszcz,"Gdańsk Wrzeszcz, Konopnickiej Marii",92.7,3,parter,1910,499 000 zł
Mieszkanie - Gdańsk Suchanino,"Gdańsk Suchanino, Paderewskiego Ignacego",56.12,3,parter,1978,529 000 zł
Mieszkanie - Gdańsk Oliwa,"Gdańsk Oliwa, Kaszubska",23,1,3,1960,289 000 zł
Mieszkanie - Gdańsk Oliwa,"Gdańsk Oliwa, Husa Jana",49,2,2,1960,539 000 zł
"Mieszkanie 3-pokojowe, Gdańsk Śródmieście.","Gdańsk Dolne Miasto, Chłodna",66.7,3,parter,1905,449 000 zł
Duże mieszkanie na Kartuskiej! Jak dom.,"Gdańsk Morena, Kartuska",120,5,parter,2010,899 000 zł
Kawalerka Przymorze ul.Chłopska 27m2,"Gdańsk Przymorze, Chłopska",27,1,2,1980,319 000 zł
Tylko 9500zł/m- Centrum Gdańsk-3 pokoje,"Gdańsk Młode Miasto, Robotnicza",54.73,3,3,0,519 900 zł
"Nowoczesność, dwa tarasy, 2 km od morza.","Gdańsk Wrzeszcz, Bolesława Chrobrego",59.65,3,2,2017,835 000 zł
Bezpośrednio - Wrzeszcz Bretowska Brama 84m2 z miejscem w hali,"Gdańsk Wrzeszcz, Słowackiego 69",84,5,9,2010,899 000 zł
"Gdańsk VII Dwór /Oliwa, kawalerka blisko UG, SKM, PKM, tramwaj","Gdańsk VII Dwór, Paneckiego",32.6,1,1,1977,350 000 zł
Gdańsk Zaspa dwa pokoje. Blisko morza.,"Gdańsk Zaspa, Meissnera",34.5,2,6,1980,347 000 zł
Mieszkanie - Gdańsk Wrzeszcz,Gdańsk Wrzeszcz,30.5,2,parter,1949,290 000 zł
Blisko morza z balkonem! Dwa niezależne pokoje,"Gdańsk Przymorze, Piastowska",46,2,5,1970,389 000 zł
Nad morzem narożny jasny apartament Zajezdnia Wrzeszcz,"Gdańsk Brzeźno,  Hallera",67,4,1,2020,1 072 000 zł
Nad morzem narożny jasny apartament Zajezdnia Wrzeszcz,"Gdańsk Brzeźno,  Hallera",67,4,1,2020,1 072 000 zł
Stylowy Apartament na Starówce/Bastion Wałowa,"Gdańsk Śródmieście, Wałowa",33.63,2,6,2018,539 000 zł
Tre mare/ 200 metrów do plaży/ Wyoski Standard,"Gdańsk Jelitkowo, Jelitkowska",66,3,2,2017,1 450 000 zł
TRE MARE/ 200 metrów do plaży/ 2 tarasy,"Gdańsk Jelitkowo, Jelitkowska",84,3,1,2017,1 900 000 zł
3 pokoje/ Morena/ Osiedle Klimaty/ Kameralnie,"Gdańsk Morena, Myśliwskie Wzgórze",63,3,3,2012,579 000 zł
